county,year,sex,age_code,age_group,population
Baringo,2021,female,00,0-1,10039.7822265625
Bomet,2021,female,00,0-1,12226.45703125
Bungoma,2021,female,00,0-1,28252.08984375
Busia,2021,female,00,0-1,12664.208984375
Elgeyo-Marakwet,2021,female,00,0-1,6046.37890625
Embu,2021,female,00,0-1,6909.0009765625
Garissa,2021,female,00,0-1,15261.12890625
HomaBay,2021,female,00,0-1,16613.337890625
Isiolo,2021,female,00,0-1,6130.78857421875
Kajiado,2021,female,00,0-1,20887.0390625
Kakamega,2021,female,00,0-1,20598.52734375
Kericho,2021,female,00,0-1,11932.431640625
Kiambu,2021,female,00,0-1,34701.95703125
Kilifi,2021,female,00,0-1,23277.87109375
Kirinyaga,2021,female,00,0-1,8832.3603515625
Kisii,2021,female,00,0-1,15134.779296875
Kisumu,2021,female,00,0-1,16257.029296875
Kitui,2021,female,00,0-1,13456.923828125
Kwale,2021,female,00,0-1,15408.767578125
Laikipia,2021,female,00,0-1,7531.4375
Lamu,2021,female,00,0-1,2253.55810546875
Machakos,2021,female,00,0-1,17751.759765625
Makueni,2021,female,00,0-1,10289.435546875
Mandera,2021,female,00,0-1,19572.7421875
Marsabit,2021,female,00,0-1,8436.3046875
Meru,2021,female,00,0-1,18361.12109375
Migori,2021,female,00,0-1,18982.26953125
Mombasa,2021,female,00,0-1,17149.875
Murang'a,2021,female,00,0-1,11601.5
Nairobi,2021,female,00,0-1,66052.546875
Nakuru,2021,female,00,0-1,32188.16015625
Nandi,2021,female,00,0-1,11674.263671875
Narok,2021,female,00,0-1,22987.7265625
Nyamira,2021,female,00,0-1,6604.4453125
Nyandarua,2021,female,00,0-1,7235.421875
Nyeri,2021,female,00,0-1,7528.80126953125
Samburu,2021,female,00,0-1,6095.2138671875
Siaya,2021,female,00,0-1,13787.0673828125
TaitaTaveta,2021,female,00,0-1,4388.607421875
TanaRiver,2021,female,00,0-1,11175.447265625
Tharaka-Nithi,2021,female,00,0-1,3648.49462890625
TransNzoia,2021,female,00,0-1,14328.7763671875
Turkana,2021,female,00,0-1,14670.9609375
UasinGishu,2021,female,00,0-1,16423.212890625
Vihiga,2021,female,00,0-1,6661.9697265625
Wajir,2021,female,00,0-1,13730.7978515625
WestPokot,2021,female,00,0-1,13453.34765625
Baringo,2021,female,01,1-4,39364.28515625
Bomet,2021,female,01,1-4,47937.8515625
Bungoma,2021,female,01,1-4,110766.1015625
Busia,2021,female,01,1-4,49641.3671875
Elgeyo-Marakwet,2021,female,01,1-4,23706.8203125
Embu,2021,female,01,1-4,27089.015625
Garissa,2021,female,01,1-4,59835.234375
HomaBay,2021,female,01,1-4,65138.0703125
Isiolo,2021,female,01,1-4,24037.779296875
Kajiado,2021,female,01,1-4,81876.5546875
Kakamega,2021,female,01,1-4,80763.3203125
Kericho,2021,female,01,1-4,46785.03125
Kiambu,2021,female,01,1-4,136060.46875
Kilifi,2021,female,01,1-4,91268.578125
Kirinyaga,2021,female,01,1-4,34630.18359375
Kisii,2021,female,01,1-4,59340.89453125
Kisumu,2021,female,01,1-4,63741.04296875
Kitui,2021,female,01,1-4,52762.30859375
Kwale,2021,female,01,1-4,60414.1953125
Laikipia,2021,female,01,1-4,29529.48046875
Lamu,2021,female,01,1-4,8835.8173828125
Machakos,2021,female,01,1-4,69601.625
Makueni,2021,female,01,1-4,40343.125
Mandera,2021,female,01,1-4,76717.96875
Marsabit,2021,female,01,1-4,33077.203125
Meru,2021,female,01,1-4,71990.8359375
Migori,2021,female,01,1-4,74408.84375
Mombasa,2021,female,01,1-4,67241.734375
Murang'a,2021,female,01,1-4,45487.5078125
Nairobi,2021,female,01,1-4,258980.796875
Nakuru,2021,female,01,1-4,126204.2890625
Nandi,2021,female,01,1-4,45772.8046875
Narok,2021,female,01,1-4,90130.046875
Nyamira,2021,female,01,1-4,25894.90625
Nyandarua,2021,female,01,1-4,28368.85546875
Nyeri,2021,female,01,1-4,29519.1484375
Samburu,2021,female,01,1-4,23898.296875
Siaya,2021,female,01,1-4,54056.7421875
TaitaTaveta,2021,female,01,1-4,17205.34765625
TanaRiver,2021,female,01,1-4,43817.01953125
Tharaka-Nithi,2021,female,01,1-4,14305.126953125
TransNzoia,2021,female,01,1-4,56179.81640625
Turkana,2021,female,01,1-4,57521.8984375
UasinGishu,2021,female,01,1-4,64392.6171875
Vihiga,2021,female,01,1-4,26120.44921875
Wajir,2021,female,01,1-4,53836.12109375
WestPokot,2021,female,01,1-4,52743.203125
Baringo,2021,female,05,5-9,49783.51171875
Bomet,2021,female,05,5-9,63466.41015625
Bungoma,2021,female,05,5-9,153455.46875
Busia,2021,female,05,5-9,67674.296875
Elgeyo-Marakwet,2021,female,05,5-9,30067.6484375
Embu,2021,female,05,5-9,32618.0078125
Garissa,2021,female,05,5-9,82481.9140625
HomaBay,2021,female,05,5-9,84838.0
Isiolo,2021,female,05,5-9,29172.482421875
Kajiado,2021,female,05,5-9,91687.90625
Kakamega,2021,female,05,5-9,115629.8125
Kericho,2021,female,05,5-9,60897.203125
Kiambu,2021,female,05,5-9,142684.8125
Kilifi,2021,female,05,5-9,112769.0703125
Kirinyaga,2021,female,05,5-9,41286.69140625
